y:Survived,x__0:Pclass,x__1:Sex,x__2:Age,x__3:SibSp,x__4:Parch,x__5:Fare,x__6:Embarked,y'__0,y'__1
1,3,0,28.0,1,1,15.2458,1,0.9275586,0.07244145
0,2,0,31.0,0,0,10.5,0,0.81645966,0.18354034
0,3,0,20.0,0,0,7.925,0,0.8737651,0.1262349
1,2,1,6.0,0,1,33.0,0,0.13756053,0.86243945
1,3,1,14.0,1,0,11.2417,1,0.2906385,0.70936155
1,1,1,26.0,0,0,78.85,0,0.06961493,0.9303851
1,3,1,28.0,0,0,7.75,2,0.25154424,0.7484558
0,3,0,16.0,2,0,18.0,0,0.93170214,0.06829785
1,3,1,16.0,0,0,7.75,2,0.2224395,0.7775605
1,1,1,19.0,0,2,26.2833,0,0.1491111,0.8508889
0,1,0,37.0,1,0,53.1,0,0.6552304,0.34476963
0,3,0,44.0,0,0,8.05,0,0.9326998,0.06730014
0,3,1,28.0,3,1,25.4667,0,0.6873543,0.31264576
0,3,0,30.0,0,0,7.225,1,0.8904839,0.109516054
0,2,0,36.0,0,0,13.0,0,0.82859993,0.17140007
1,1,1,16.0,0,1,39.4,0,0.09439819,0.90560186
1,1,0,42.0,1,0,52.5542,0,0.6713371,0.32866284
1,3,1,28.0,0,0,7.8292,2,0.25142848,0.7485715
0,2,0,27.0,0,0,13.0,0,0.7995621,0.20043792
0,1,0,47.0,0,0,52.0,0,0.666372,0.33362803
0,3,0,24.0,0,0,7.8958,0,0.894903,0.105096966
1,1,0,34.0,0,0,26.55,0,0.6675113,0.33248878
1,3,1,19.0,1,0,7.8542,0,0.41113797,0.588862
0,3,0,20.0,0,0,9.225,0,0.8728009,0.12719913
0,3,0,28.0,0,0,14.5,0,0.9039079,0.09609208
0,3,0,10.0,3,2,27.9,0,0.9070497,0.09295024
0,1,0,40.0,0,0,27.7208,1,0.6586272,0.34137285
1,2,0,31.0,0,0,13.0,0,0.8163171,0.1836829
0,3,0,4.0,3,2,27.9,0,0.8684303,0.13156967
0,3,1,31.0,0,0,7.8542,0,0.3979126,0.6020874
0,3,0,19.0,0,0,7.8958,0,0.8671422,0.13285778
1,3,1,22.0,0,0,7.75,0,0.38779828,0.61220175
0,1,0,28.0,0,0,30.6958,1,0.6177525,0.38224748
0,3,1,28.0,0,0,7.55,0,0.39632815,0.60367185
1,3,0,18.0,0,0,8.05,0,0.8597962,0.14020373
0,3,0,27.0,1,0,14.4542,1,0.92178696,0.07821299
1,1,0,28.0,0,0,35.5,0,0.6124931,0.3875069
1,3,1,28.0,0,0,7.75,2,0.25154424,0.7484558
1,1,1,30.0,0,0,31.0,1,0.11901211,0.8809879
0,3,0,28.0,0,0,7.8958,0,0.9086138,0.09138622
0,2,0,21.0,2,0,73.5,0,0.83069706,0.16930299
0,3,0,29.0,1,0,7.0458,0,0.9424299,0.057570107
