y:Survived,x__0:Pclass,x__1:Sex,x__2:Age,x__3:SibSp,x__4:Parch,x__5:Fare,x__6:Embarked,y'__0,y'__1
1,3,0,28.0,1,1,15.2458,1,0.9159912,0.08400881
0,2,0,31.0,0,0,10.5,0,0.89088947,0.10911049
0,3,0,20.0,0,0,7.925,0,0.9047991,0.09520083
1,2,1,6.0,0,1,33.0,0,0.06494574,0.93505424
1,3,1,14.0,1,0,11.2417,1,0.37462118,0.6253787
1,1,1,26.0,0,0,78.85,0,0.057172507,0.9428275
1,3,1,28.0,0,0,7.75,2,0.3765313,0.6234687
0,3,0,16.0,2,0,18.0,0,0.94109505,0.05890489
1,3,1,16.0,0,0,7.75,2,0.29258424,0.70741576
1,1,1,19.0,0,2,26.2833,0,0.20045273,0.7995473
0,1,0,37.0,1,0,53.1,0,0.6776316,0.32236838
0,3,0,44.0,0,0,8.05,0,0.95307267,0.046927407
0,3,1,28.0,3,1,25.4667,0,0.6735118,0.3264882
0,3,0,30.0,0,0,7.225,1,0.9201484,0.0798516
0,2,0,36.0,0,0,13.0,0,0.8918987,0.10810129
1,1,1,16.0,0,1,39.4,0,0.08587999,0.91412
1,1,0,42.0,1,0,52.5542,0,0.7246466,0.27535337
1,3,1,28.0,0,0,7.8292,2,0.3755016,0.6244984
0,2,0,27.0,0,0,13.0,0,0.87805194,0.121948056
0,1,0,47.0,0,0,52.0,0,0.77247024,0.22752975
0,3,0,24.0,0,0,7.8958,0,0.91517276,0.08482726
1,1,0,34.0,0,0,26.55,0,0.78707445,0.21292557
1,3,1,19.0,1,0,7.8542,0,0.50346255,0.49653745
0,3,0,20.0,0,0,9.225,0,0.9096515,0.0903485
0,3,0,28.0,0,0,14.5,0,0.93885255,0.061147414
0,3,0,10.0,3,2,27.9,0,0.9032808,0.09671925
0,1,0,40.0,0,0,27.7208,1,0.677897,0.322103
1,2,0,31.0,0,0,13.0,0,0.8835013,0.11649868
0,3,0,4.0,3,2,27.9,0,0.64711285,0.35288718
0,3,1,31.0,0,0,7.8542,0,0.53458524,0.46541476
0,3,0,19.0,0,0,7.8958,0,0.90200627,0.09799371
1,3,1,22.0,0,0,7.75,0,0.49740002,0.5026
0,1,0,28.0,0,0,30.6958,1,0.7465481,0.2534519
0,3,1,28.0,0,0,7.55,0,0.52432626,0.47567368
1,3,0,18.0,0,0,8.05,0,0.90016377,0.09983626
0,3,0,27.0,1,0,14.4542,1,0.91604453,0.08395544
1,1,0,28.0,0,0,35.5,0,0.69905674,0.3009433
1,3,1,28.0,0,0,7.75,2,0.3765313,0.6234687
1,1,1,30.0,0,0,31.0,1,0.11023652,0.8897635
0,3,0,28.0,0,0,7.8958,0,0.92623013,0.07376984
0,2,0,21.0,2,0,73.5,0,0.8944825,0.10551751
0,3,0,29.0,1,0,7.0458,0,0.9215675,0.078432485
0,3,0,28.0,0,0,8.05,0,0.92701954,0.07298046
0,3,0,28.0,0,0,7.75,2,0.90221924,0.09778073
0,3,1,45.0,0,1,14.4542,1,0.4798644,0.5201356
0,3,0,16.0,1,3,34.375,0,0.9338829,0.066117026
0,3,0,19.0,0,0,8.1583,0,0.9037332,0.09626682
0,3,0,23.0,0,0,9.225,0,0.9214302,0.0785698
0,3,0,24.0,0,0,7.05,0,0.9127737,0.08722627
0,1,0,58.0,0,2,113.275,1,0.6899958,0.31000412
1,3,1,5.0,2,1,19.2583,1,0.29362294,0.7063771
1,1,1,52.0,1,1,93.5,0,0.15042517,0.84957486
0,3,0,40.0,1,4,27.9,0,0.97981685,0.020183146
1,1,0,11.0,1,2,120.0,0,0.53156143,0.46843857
0,3,0,65.0,0,0,7.75,2,0.97898084,0.021019155
1,1,1,18.0,0,2,79.65,0,0.14040338,0.85959667
0,2,0,32.0,0,0,10.5,0,0.89425004,0.105749935
1,1,1,50.0,0,1,247.5208,1,0.16840933,0.8315906
1,2,1,35.0,0,0,21.0,0,0.21083383,0.78916615
1,3,1,19.0,0,0,7.8792,2,0.325417,0.67458296
0,3,0,21.0,0,0,7.775,0,0.90667266,0.09332734
1,2,1,13.0,0,1,19.5,0,0.1955366,0.8044634
1,2,1,28.0,1,0,26.0,0,0.2728722,0.72712773
0,1,0,28.0,0,0,25.925,0,0.8304999,0.16950011
0,3,0,28.0,0,0,7.75,2,0.90221924,0.09778073
0,2,1,57.0,0,0,10.5,0,0.4294443,0.5705557
0,2,0,21.0,0,0,73.5,0,0.5927065,0.4072935
0,3,0,29.0,0,0,7.875,0,0.92877907,0.071220994
0,3,0,17.0,1,1,7.2292,1,0.83991337,0.16008659
