y:Survived,x__0:Pclass,x__1:Sex,x__2:Age,x__3:SibSp,x__4:Parch,x__5:Fare,x__6:Embarked,y'__0,y'__1
1,3,0,28.0,1,1,15.2458,1,0.9407453,0.05925468
0,2,0,31.0,0,0,10.5,0,0.84584206,0.15415798
0,3,0,20.0,0,0,7.925,0,0.8894085,0.11059144
1,2,1,6.0,0,1,33.0,0,0.115295544,0.8847044
1,3,1,14.0,1,0,11.2417,1,0.3306347,0.6693653
1,1,1,26.0,0,0,78.85,0,0.036648568,0.9633514
1,3,1,28.0,0,0,7.75,2,0.2263727,0.7736273
0,3,0,16.0,2,0,18.0,0,0.92495966,0.07504031
1,3,1,16.0,0,0,7.75,2,0.26483166,0.73516834
1,1,1,19.0,0,2,26.2833,0,0.16868295,0.83131707
0,1,0,37.0,1,0,53.1,0,0.6579603,0.34203973
0,3,0,44.0,0,0,8.05,0,0.9228386,0.07716133
0,3,1,28.0,3,1,25.4667,0,0.644505,0.35549498
0,3,0,30.0,0,0,7.225,1,0.90599287,0.094007134
0,2,0,36.0,0,0,13.0,0,0.8273281,0.17267191
1,1,1,16.0,0,1,39.4,0,0.107335545,0.89266443
1,1,0,42.0,1,0,52.5542,0,0.6647456,0.33525437
1,3,1,28.0,0,0,7.8292,2,0.22602369,0.77397627
0,2,0,27.0,0,0,13.0,0,0.8364865,0.16351353
0,1,0,47.0,0,0,52.0,0,0.57553977,0.4244602
0,3,0,24.0,0,0,7.8958,0,0.9133409,0.08665909
1,1,0,34.0,0,0,26.55,0,0.6421694,0.35783052
1,3,1,19.0,1,0,7.8542,0,0.38490433,0.6150957
0,3,0,20.0,0,0,9.225,0,0.88732266,0.11267738
0,3,0,28.0,0,0,14.5,0,0.9107004,0.08929955
0,3,0,10.0,3,2,27.9,0,0.84953326,0.1504668
0,1,0,40.0,0,0,27.7208,1,0.62896264,0.37103736
1,2,0,31.0,0,0,13.0,0,0.83722526,0.16277471
0,3,0,4.0,3,2,27.9,0,0.70473135,0.29526865
0,3,1,31.0,0,0,7.8542,0,0.33363208,0.6663679
0,3,0,19.0,0,0,7.8958,0,0.8806274,0.11937268
1,3,1,22.0,0,0,7.75,0,0.29346257,0.7065374
0,1,0,28.0,0,0,30.6958,1,0.5294915,0.4705085
0,3,1,28.0,0,0,7.55,0,0.34121427,0.65878576
1,3,0,18.0,0,0,8.05,0,0.8702028,0.12979719
0,3,0,27.0,1,0,14.4542,1,0.9259823,0.07401769
1,1,0,28.0,0,0,35.5,0,0.57953686,0.4204632
1,3,1,28.0,0,0,7.75,2,0.2263727,0.7736273
1,1,1,30.0,0,0,31.0,1,0.05335211,0.94664794
0,3,0,28.0,0,0,7.8958,0,0.921301,0.07869899
0,2,0,21.0,2,0,73.5,0,0.8153194,0.18468058
0,3,0,29.0,1,0,7.0458,0,0.9458436,0.05415646
0,3,0,28.0,0,0,8.05,0,0.92107284,0.07892717
0,3,0,28.0,0,0,7.75,2,0.8792773,0.12072271
0,3,1,45.0,0,1,14.4542,1,0.40352896,0.59647095
0,3,0,16.0,1,3,34.375,0,0.82584476,0.17415528
0,3,0,19.0,0,0,8.1583,0,0.8801869,0.11981314
0,3,0,23.0,0,0,9.225,0,0.9070403,0.092959665
0,3,0,24.0,0,0,7.05,0,0.9144989,0.085501075
0,1,0,58.0,0,2,113.275,1,0.5839329,0.41606712
1,3,1,5.0,2,1,19.2583,1,0.31097808,0.68902194
1,1,1,52.0,1,1,93.5,0,0.102927566,0.89707243
0,3,0,40.0,1,4,27.9,0,0.9843864,0.015613601
1,1,0,11.0,1,2,120.0,0,0.41040003,0.58959997
0,3,0,65.0,0,0,7.75,2,0.88418853,0.11581146
1,1,1,18.0,0,2,79.65,0,0.10739334,0.8926067
0,2,0,32.0,0,0,10.5,0,0.84127575,0.15872426
1,1,1,50.0,0,1,247.5208,1,0.022358436,0.9776415
1,2,1,35.0,0,0,21.0,0,0.16433895,0.83566105
1,3,1,19.0,0,0,7.8792,2,0.27448332,0.7255167
0,3,0,21.0,0,0,7.775,0,0.8972416,0.10275835
1,2,1,13.0,0,1,19.5,0,0.1858149,0.814185
1,2,1,28.0,1,0,26.0,0,0.16690026,0.8330997
0,1,0,28.0,0,0,25.925,0,0.6391996,0.36080036
0,3,0,28.0,0,0,7.75,2,0.8792773,0.12072271
0,2,1,57.0,0,0,10.5,0,0.21996547,0.7800345
0,2,0,21.0,0,0,73.5,0,0.6368262,0.36317378
0,3,0,29.0,0,0,7.875,0,0.920768,0.07923201
0,3,0,17.0,1,1,7.2292,1,0.85399985,0.14600018
1,1,1,52.0,1,0,78.2667,1,0.0631779,0.9368221
0,2,1,26.0,1,1,26.0,0,0.25552732,0.7444727
1,1,1,18.0,2,2,262.375,1,0.15629624,0.84370375
1,1,0,26.0,0,0,30.0,1,0.50576276,0.4942372
1,1,1,39.0,1,1,83.1583,1,0.085593864,0.9144061
0,3,0,23.0,0,0,7.8542,0,0.90899664,0.09100335
0,3,0,36.0,1,0,15.55,0,0.94243675,0.057563182
0,3,1,30.5,0,0,7.75,2,0.22208811,0.77791184
1,1,1,22.0,0,2,49.5,1,0.117749505,0.8822505
0,2,1,38.0,0,0,13.0,0,0.20283481,0.7971652
0,3,1,41.0,0,2,20.2125,0,0.51190656,0.48809347
0,3,0,16.0,4,1,39.6875,0,0.96341836,0.0365816
1,2,1,29.0,0,0,10.5,0,0.17131925,0.8286808
1,1,1,40.0,1,1,134.5,1,0.07402469,0.9259754
0,3,0,28.0,0,0,7.7375,2,0.87930083,0.12069922
0,1,0,56.0,0,0,30.6958,1,0.6292879,0.3707121
0,1,0,71.0,0,0,49.5042,1,0.46315503,0.5368449
1,1,1,31.0,1,0,113.275,1,0.056970324,0.94302964
1,1,1,30.0,0,0,56.9292,1,0.03459215,0.9654078
0,1,0,38.0,0,0,0.0,0,0.7720114,0.22798857
0,3,0,28.0,0,0,7.25,0,0.9222472,0.07775281
1,3,0,9.0,0,2,20.525,0,0.5456268,0.45437318
0,3,1,9.0,4,2,31.275,0,0.61996126,0.3800387
0,1,0,61.0,0,0,32.3208,0,0.6476032,0.3523968
0,3,0,28.0,0,0,7.7292,2,0.8793164,0.12068364
0,3,0,28.0,0,0,7.8958,0,0.921301,0.07869899
0,3,0,28.0,0,0,7.8542,0,0.92136246,0.07863756
1,1,0,48.0,1,0,52.0,0,0.66331166,0.33668834
