y:Survived,x__0:Pclass,x__1:Sex,x__2:Age,x__3:SibSp,x__4:Parch,x__5:Fare,x__6:Embarked,y'__0,y'__1
1,3,0,28.0,1,1,15.2458,1,0.92895883,0.071041174
0,2,0,31.0,0,0,10.5,0,0.8594762,0.14052379
0,3,0,20.0,0,0,7.925,0,0.8480056,0.15199442
1,2,1,6.0,0,1,33.0,0,0.06616372,0.9338362
1,3,1,14.0,1,0,11.2417,1,0.3997749,0.60022503
1,1,1,26.0,0,0,78.85,0,0.042842682,0.9571573
1,3,1,28.0,0,0,7.75,2,0.26807365,0.7319264
0,3,0,16.0,2,0,18.0,0,0.8844149,0.1155851
1,3,1,16.0,0,0,7.75,2,0.24641751,0.75358254
1,1,1,19.0,0,2,26.2833,0,0.05002363,0.9499764
0,1,0,37.0,1,0,53.1,0,0.6717545,0.32824552
0,3,0,44.0,0,0,8.05,0,0.92645246,0.07354755
0,3,1,28.0,3,1,25.4667,0,0.66697824,0.33302173
0,3,0,30.0,0,0,7.225,1,0.90806055,0.091939464
0,2,0,36.0,0,0,13.0,0,0.85859257,0.14140742
1,1,1,16.0,0,1,39.4,0,0.05010663,0.94989336
1,1,0,42.0,1,0,52.5542,0,0.6901132,0.30988684
1,3,1,28.0,0,0,7.8292,2,0.26782006,0.73218
0,2,0,27.0,0,0,13.0,0,0.8361952,0.16380487
0,1,0,47.0,0,0,52.0,0,0.6251294,0.37487063
0,3,0,24.0,0,0,7.8958,0,0.8947297,0.10527034
1,1,0,34.0,0,0,26.55,0,0.6343638,0.36563626
1,3,1,19.0,1,0,7.8542,0,0.47954485,0.5204552
0,3,0,20.0,0,0,9.225,0,0.8473958,0.1526042
0,3,0,28.0,0,0,14.5,0,0.90511554,0.094884485
0,3,0,10.0,3,2,27.9,0,0.888824,0.111176014
0,1,0,40.0,0,0,27.7208,1,0.6049292,0.39507076
1,2,0,31.0,0,0,13.0,0,0.85116583,0.14883415
0,3,0,4.0,3,2,27.9,0,0.81089866,0.18910131
0,3,1,31.0,0,0,7.8542,0,0.3189472,0.68105274
0,3,0,19.0,0,0,7.8958,0,0.8339576,0.16604237
1,3,1,22.0,0,0,7.75,0,0.36084744,0.6391526
0,1,0,28.0,0,0,30.6958,1,0.47703934,0.5229607
0,3,1,28.0,0,0,7.55,0,0.3466756,0.65332437
1,3,0,18.0,0,0,8.05,0,0.81878966,0.18121032
0,3,0,27.0,1,0,14.4542,1,0.91128194,0.088718124
1,1,0,28.0,0,0,35.5,0,0.5742608,0.42573923
1,3,1,28.0,0,0,7.75,2,0.26807365,0.7319264
1,1,1,30.0,0,0,31.0,1,0.041171953,0.95882803
0,3,0,28.0,0,0,7.8958,0,0.91663146,0.083368555
0,2,0,21.0,2,0,73.5,0,0.8191415,0.18085851
0,3,0,29.0,1,0,7.0458,0,0.9430675,0.0569325
0,3,0,28.0,0,0,8.05,0,0.91637766,0.08362234
0,3,0,28.0,0,0,7.75,2,0.8541585,0.14584145
0,3,1,45.0,0,1,14.4542,1,0.38139623,0.6186038
0,3,0,16.0,1,3,34.375,0,0.84670055,0.15329942
