y:Survived,x__0:Pclass,x__1:Sex,x__2:Age,x__3:SibSp,x__4:Parch,x__5:Fare,x__6:Embarked,y'__0,y'__1
1,3,0,28.0,1,1,15.2458,1,0.8582455,0.14175458
0,2,0,31.0,0,0,10.5,0,0.8877416,0.11225836
0,3,0,20.0,0,0,7.925,0,0.8235248,0.17647518
1,2,1,6.0,0,1,33.0,0,0.07586961,0.9241304
1,3,1,14.0,1,0,11.2417,1,0.3085325,0.69146746
1,1,1,26.0,0,0,78.85,0,0.012913797,0.9870862
1,3,1,28.0,0,0,7.75,2,0.23890506,0.7610949
0,3,0,16.0,2,0,18.0,0,0.8749769,0.1250231
1,3,1,16.0,0,0,7.75,2,0.22116469,0.77883536
1,1,1,19.0,0,2,26.2833,0,0.021732705,0.9782673
0,1,0,37.0,1,0,53.1,0,0.624013,0.37598705
0,3,0,44.0,0,0,8.05,0,0.9319134,0.0680866
0,3,1,28.0,3,1,25.4667,0,0.6632385,0.33676142
0,3,0,30.0,0,0,7.225,1,0.8667982,0.13320172
0,2,0,36.0,0,0,13.0,0,0.8913157,0.108684294
1,1,1,16.0,0,1,39.4,0,0.02235328,0.97764677
1,1,0,42.0,1,0,52.5542,0,0.6055205,0.39447954
1,3,1,28.0,0,0,7.8292,2,0.23885523,0.7611448
0,2,0,27.0,0,0,13.0,0,0.87036234,0.1296376
0,1,0,47.0,0,0,52.0,0,0.6029721,0.39702794
0,3,0,24.0,0,0,7.8958,0,0.8583555,0.14164451
1,1,0,34.0,0,0,26.55,0,0.6995343,0.30046573
1,3,1,19.0,1,0,7.8542,0,0.57106596,0.42893413
0,3,0,20.0,0,0,9.225,0,0.8169989,0.18300113
0,3,0,28.0,0,0,14.5,0,0.86505324,0.13494673
0,3,0,10.0,3,2,27.9,0,0.7730593,0.22694072
0,1,0,40.0,0,0,27.7208,1,0.72693104,0.273069
1,2,0,31.0,0,0,13.0,0,0.8800973,0.11990268
0,3,0,4.0,3,2,27.9,0,0.6369057,0.36309427
0,3,1,31.0,0,0,7.8542,0,0.45285258,0.54714745
0,3,0,19.0,0,0,7.8958,0,0.80852807,0.19147189
1,3,1,22.0,0,0,7.75,0,0.52223665,0.4777633
0,1,0,28.0,0,0,30.6958,1,0.6567392,0.34326082
0,3,1,28.0,0,0,7.55,0,0.47535768,0.5246423
1,3,0,18.0,0,0,8.05,0,0.7915493,0.20845066
0,3,0,27.0,1,0,14.4542,1,0.87069744,0.12930262
1,1,0,28.0,0,0,35.5,0,0.63846266,0.36153725
1,3,1,28.0,0,0,7.75,2,0.23890506,0.7610949
1,1,1,30.0,0,0,31.0,1,0.013227371,0.9867726
0,3,0,28.0,0,0,7.8958,0,0.8846561,0.115343876
0,2,0,21.0,2,0,73.5,0,0.7643636,0.23563647
0,3,0,29.0,1,0,7.0458,0,0.9337371,0.06626294
0,3,0,28.0,0,0,8.05,0,0.88422805,0.11577194
0,3,0,28.0,0,0,7.75,2,0.874918,0.125082
0,3,1,45.0,0,1,14.4542,1,0.33122364,0.66877633
0,3,0,16.0,1,3,34.375,0,0.66141057,0.33858943
0,3,0,19.0,0,0,8.1583,0,0.8071405,0.19285956
0,3,0,23.0,0,0,9.225,0,0.84640795,0.15359206
0,3,0,24.0,0,0,7.05,0,0.8611255,0.13887447
0,1,0,58.0,0,2,113.275,1,0.74948394,0.25051603
1,3,1,5.0,2,1,19.2583,1,0.16324611,0.83675396
1,1,1,52.0,1,1,93.5,0,0.015572004,0.984428
0,3,0,40.0,1,4,27.9,0,0.9730013,0.026998715
1,1,0,11.0,1,2,120.0,0,0.4630481,0.53695196
0,3,0,65.0,0,0,7.75,2,0.9833889,0.016611138
1,1,1,18.0,0,2,79.65,0,0.033454344,0.96654564
0,2,0,32.0,0,0,10.5,0,0.8899331,0.110066935
1,1,1,50.0,0,1,247.5208,1,0.015961774,0.98403823
